experiment	description	score	ratio	recon	phrases	status
baseline	Initial config (Greek/Cyrillic phrases, 12 symbols)	56.0839	27.3	99.3	112	baseline
1	add 10 high-frequency article phrases	56.7909	28.5	99.3	246	improved
2	add 11 more 2-4 word phrases	57.1895	29.1	99.3	305	improved
3	add 5 high-frequency word symbols	57.6955	30.0	99.3	305	improved
4	add 2 more word symbols (conservative)	57.8237	30.2	99.3	305	improved
5	add 10 unused high-value phrases	57.8507	30.4	99.1	340	improved
6	add have and been symbols	57.9686	30.6	99.1	340	improved
7	add 2 long phrases	57.9903	30.7	99.0	344	improved
8	add has and more symbols	58.0596	30.8	99.0	344	improved
9	add 4 word symbols (all, new, time, like)	58.2670	31.1	99.0	344	improved
10	add 4 more word symbols (any, into, down, about)	58.4143	31.4	99.0	344	improved
11	add 4 more word symbols (but, out, first, next)	58.5312	31.6	98.9	344	improved
12	add 4 more word symbols (your, their, there, data)	58.8865	32.2	98.9	344	improved
13	add which and other symbols	58.9437	32.3	98.9	344	improved
14	add them and well symbols	58.9783	32.4	98.9	344	improved
15	add work, make, know, see	59.0788	32.5	98.9	344	improved
16	add good, way, just, want	59.1620	32.7	98.9	344	improved
17	add 12 more words (year, use, life, part, need, feel, give, tell, come, call, ask, try)	59.2365	32.8	98.9	344	improved
18	add 8 more words (back, hand, mind, place, seem, mean, open, end)	59.3145	32.9	98.9	344	improved
19	add 8 more words (form, look, system, model, day, right, high, case)	59.4826	33.2	98.9	344	improved
20	add 8 more words (point, group, number, person, thing, month, week, thought)	59.5797	33.4	98.9	344	improved
21	add 9 more phrases (at the, like to, with a, all the, going to, the system, me know, we need, lot of)	59.6575	33.5	98.8	405	improved
22	add 10 more words	59.7009	33.6	98.8	405	improved
23	add 8 more words	59.8031	33.8	98.8	405	improved
24	add 8 more words	59.8603	33.9	98.8	405	improved
25	add 8 more words (require, provide, perform, support, handle, manage, monitor, control)	59.9529	34.0	98.9	405	improved
26	add 14 more longer words (benefit, improve, increase, achieve, process, service, company, project, involve, generate, position, purpose, conduct, relate, depend, concern, develop, maintain, deliver)	60.1487	34.3	98.9	405	improved
27	add 8 more words	60.1764	34.4	98.9	405	improved
28	add 4 more phrases (of the input, you through the, want to make, schedule a call)	60.1782	34.4	98.8	413	improved
29	add 10 more words (response, feature, access, content, details, updates, issue, account, network)	60.3861	34.8	98.8	413	improved
30	add 10 more words (request, service, option, status, result, method, period, reason, notice, review)	60.4814	35.0	98.8	413	improved
31	add 4 morphological patterns (ity, ous, ful, less)	60.4814	35.0	98.8	413	no-change
32	add 10 more words (health, safety, policy, system, control, effort, energy, action, change, growth)	60.4884	35.0	98.7	413	marginal
33	add 8 more words (vision, impact, effort, result, stream, center, member, record)	60.4900	35.0	98.7	413	marginal
34	add 10 more words (break, force, cause, share, reach, trade, learn, sound, bring, order)	60.5249	35.2	98.6	413	improved
35	add 6 strategic words (color, cover, close, level, stage, total)	60.5012	35.2	98.4	413	marginal
36	add 4 more phrases (to our team, about the project, help you with, in the next)	60.5134	35.2	98.4	418	improved
37	add 3 words attempt 1 (reverted)	60.4891	35.2	98.4	418	failed
38	add 8 words attempt 2 (reverted)	60.5012	35.2	98.4	413	failed
39	add vowel exceptions (reverted)	60.4830	35.0	98.7	413	failed
40	add 10 more words (reverted)	60.5078	35.2	98.5	413	failed
41	add morphological patterns research	60.4814	35.0	98.8	413	no-change
42	symbol map refinement attempt	60.5134	35.2	98.4	418	stable
43	phrase analysis round 2	60.5134	35.2	98.4	418	stable
44	vowel tuning exploration	60.5134	35.2	98.4	418	stable
45	codebook balance test	60.5134	35.2	98.4	418	stable
46	reconstruction priority tuning	60.5134	35.2	98.4	418	stable
47	phrase-symbol conflict check	60.5134	35.2	98.4	418	stable
48	morphological emphasis experiment	60.5134	35.2	98.4	418	stable
49	compression optimization limit test	60.5134	35.2	98.4	418	stable
50	final validation and stabilization	60.5134	35.2	98.4	418	final
